ID,Data,Customer ID,Sexo,Idade,Categoria,Quantidade,Preco por Unidade,Total
1,2023-11-24,CUST001,Homem,34,Beleza,3,50,150
2,2023-02-27,CUST002,Mulher,26,Roupas,2,500,1000
3,2023-01-13,CUST003,Homem,50,Eletronicos,1,30,30
4,2023-05-21,CUST004,Homem,37,Roupas,1,500,500
5,2023-05-06,CUST005,Homem,30,Beleza,2,50,100
6,2023-04-25,CUST006,Mulher,45,Beleza,1,30,30
7,2023-03-13,CUST007,Homem,46,Roupas,2,25,50
8,2023-02-22,CUST008,Homem,30,Eletronicos,4,25,100
9,2023-12-13,CUST009,Homem,63,Eletronicos,2,300,600
10,2023-10-07,CUST010,Mulher,52,Roupas,4,50,200
11,2023-02-14,CUST011,Homem,23,Roupas,2,50,100
12,2023-10-30,CUST012,Homem,35,Beleza,3,25,75
13,2023-08-05,CUST013,Homem,22,Eletronicos,3,500,1500
14,2023-01-17,CUST014,Homem,64,Roupas,4,30,120
15,2023-01-16,CUST015,Mulher,42,Eletronicos,4,500,2000
16,2023-02-17,CUST016,Homem,19,Roupas,3,500,1500
17,2023-04-22,CUST017,Mulher,27,Roupas,4,25,100
18,2023-04-30,CUST018,Mulher,47,Eletronicos,2,25,50
19,2023-09-16,CUST019,Mulher,62,Roupas,2,25,50
20,2023-11-05,CUST020,Homem,22,Roupas,3,300,900
21,2023-01-14,CUST021,Mulher,50,Beleza,1,500,500
22,2023-10-15,CUST022,Homem,18,Roupas,2,50,100
23,2023-04-12,CUST023,Mulher,35,Roupas,4,30,120
24,2023-11-29,CUST024,Mulher,49,Roupas,1,300,300
25,2023-12-26,CUST025,Mulher,64,Beleza,1,50,50
26,2023-10-07,CUST026,Mulher,28,Eletronicos,2,500,1000
27,2023-08-03,CUST027,Mulher,38,Beleza,2,25,50
28,2023-04-23,CUST028,Mulher,43,Beleza,1,500,500
29,2023-08-18,CUST029,Mulher,42,Eletronicos,1,30,30
30,2023-10-29,CUST030,Mulher,39,Beleza,3,300,900
31,2023-05-23,CUST031,Homem,44,Eletronicos,4,300,1200
32,2023-01-04,CUST032,Homem,30,Beleza,3,30,90
33,2023-03-23,CUST033,Mulher,50,Eletronicos,2,50,100
34,2023-12-24,CUST034,Mulher,51,Roupas,3,50,150
35,2023-08-05,CUST035,Mulher,58,Beleza,3,300,900
36,2023-06-24,CUST036,Homem,52,Beleza,3,300,900
37,2023-05-23,CUST037,Mulher,18,Beleza,3,25,75
38,2023-03-21,CUST038,Homem,38,Beleza,4,50,200
39,2023-04-21,CUST039,Homem,23,Roupas,4,30,120
40,2023-06-22,CUST040,Homem,45,Beleza,1,50,50
41,2023-02-22,CUST041,Homem,34,Roupas,2,25,50
42,2023-02-17,CUST042,Homem,22,Roupas,3,300,900
43,2023-07-14,CUST043,Mulher,48,Roupas,1,300,300
44,2023-02-19,CUST044,Mulher,22,Roupas,1,25,25
45,2023-07-03,CUST045,Mulher,55,Eletronicos,1,30,30
46,2023-06-26,CUST046,Mulher,20,Eletronicos,4,300,1200
47,2023-11-06,CUST047,Mulher,40,Beleza,3,500,1500
48,2023-05-16,CUST048,Homem,54,Eletronicos,3,300,900
49,2023-01-23,CUST049,Mulher,54,Eletronicos,2,500,1000
50,2023-08-24,CUST050,Mulher,27,Beleza,3,25,75
51,2023-10-02,CUST051,Homem,27,Beleza,3,25,75
52,2023-03-05,CUST052,Mulher,36,Beleza,1,300,300
53,2023-07-13,CUST053,Homem,34,Eletronicos,2,50,100
54,2023-02-10,CUST054,Mulher,38,Eletronicos,3,500,1500
55,2023-10-10,CUST055,Homem,31,Beleza,4,30,120
56,2023-05-31,CUST056,Mulher,26,Roupas,3,300,900
57,2023-11-18,CUST057,Mulher,63,Beleza,1,30,30
58,2023-11-13,CUST058,Homem,18,Roupas,4,300,1200
59,2023-07-05,CUST059,Homem,62,Roupas,1,50,50
60,2023-10-23,CUST060,Homem,30,Beleza,3,50,150
61,2023-04-09,CUST061,Homem,21,Beleza,4,50,200
62,2023-12-27,CUST062,Homem,18,Beleza,2,50,100
63,2023-02-05,CUST063,Homem,57,Eletronicos,2,25,50
64,2023-01-24,CUST064,Homem,49,Roupas,4,25,100
65,2023-12-05,CUST065,Homem,51,Eletronicos,4,500,2000
66,2023-04-27,CUST066,Mulher,45,Eletronicos,1,30,30
67,2023-05-29,CUST067,Mulher,48,Beleza,4,300,1200
68,2023-02-10,CUST068,Homem,25,Eletronicos,1,300,300
69,2023-04-30,CUST069,Mulher,56,Beleza,3,25,75
70,2023-02-21,CUST070,Mulher,43,Roupas,1,300,300
71,2023-07-14,CUST071,Mulher,51,Beleza,4,25,100
72,2023-05-23,CUST072,Mulher,20,Eletronicos,4,500,2000
73,2023-08-21,CUST073,Homem,29,Eletronicos,3,30,90
74,2023-11-22,CUST074,Mulher,18,Beleza,4,500,2000
75,2023-07-06,CUST075,Homem,61,Beleza,4,50,200
76,2023-03-25,CUST076,Mulher,22,Eletronicos,2,50,100
77,2023-07-09,CUST077,Mulher,47,Roupas,2,50,100
78,2023-07-01,CUST078,Mulher,47,Roupas,3,500,1500
79,2023-04-18,CUST079,Homem,34,Beleza,1,300,300
80,2023-12-10,CUST080,Mulher,64,Roupas,2,30,60
81,2023-05-17,CUST081,Homem,40,Eletronicos,1,50,50
82,2023-12-26,CUST082,Mulher,32,Beleza,4,50,200
83,2023-12-16,CUST083,Homem,54,Eletronicos,2,50,100
84,2023-11-28,CUST084,Mulher,38,Eletronicos,3,30,90
85,2023-02-06,CUST085,Homem,31,Roupas,3,50,150
86,2023-11-08,CUST086,Homem,19,Beleza,3,30,90
87,2023-11-22,CUST087,Mulher,28,Beleza,2,50,100
88,2023-03-29,CUST088,Homem,56,Roupas,1,500,500
89,2023-10-01,CUST089,Mulher,55,Eletronicos,4,500,2000
90,2023-05-06,CUST090,Mulher,51,Eletronicos,1,30,30
91,2023-03-25,CUST091,Mulher,55,Eletronicos,1,500,500
92,2023-08-25,CUST092,Mulher,51,Eletronicos,4,30,120
93,2023-07-14,CUST093,Mulher,35,Beleza,4,500,2000
94,2023-05-19,CUST094,Mulher,47,Beleza,2,500,1000
95,2023-11-24,CUST095,Mulher,32,Roupas,2,30,60
96,2023-12-19,CUST096,Mulher,44,Roupas,2,300,600
97,2023-10-13,CUST097,Mulher,51,Beleza,2,500,1000
98,2023-04-23,CUST098,Mulher,55,Beleza,2,50,100
99,2023-12-17,CUST099,Mulher,50,Eletronicos,4,300,1200
100,2023-06-16,CUST100,Homem,41,Eletronicos,1,30,30
101,2023-01-29,CUST101,Homem,32,Roupas,2,300,600
102,2023-04-28,CUST102,Mulher,47,Beleza,2,25,50
103,2023-01-17,CUST103,Mulher,59,Roupas,1,25,25
104,2023-06-11,CUST104,Mulher,34,Beleza,2,500,1000
105,2023-07-25,CUST105,Mulher,22,Eletronicos,1,500,500
106,2023-05-18,CUST106,Mulher,46,Roupas,1,50,50
107,2023-02-03,CUST107,Mulher,21,Roupas,4,300,1200
108,2023-04-19,CUST108,Mulher,27,Beleza,3,25,75
109,2023-10-18,CUST109,Mulher,34,Eletronicos,4,500,2000
110,2023-06-11,CUST110,Homem,27,Roupas,3,300,900
111,2023-04-19,CUST111,Mulher,34,Eletronicos,3,500,1500
112,2023-12-02,CUST112,Homem,37,Roupas,3,500,1500
113,2023-09-13,CUST113,Mulher,41,Eletronicos,2,25,50
114,2023-07-22,CUST114,Mulher,22,Beleza,4,25,100
115,2023-11-26,CUST115,Homem,51,Roupas,3,500,1500
116,2023-08-23,CUST116,Mulher,23,Roupas,1,30,30
117,2023-03-15,CUST117,Homem,19,Eletronicos,2,500,1000
118,2023-05-16,CUST118,Mulher,30,Eletronicos,4,500,2000
119,2023-03-13,CUST119,Mulher,60,Roupas,3,50,150
120,2023-05-07,CUST120,Homem,60,Beleza,1,50,50
121,2023-10-15,CUST121,Mulher,28,Eletronicos,4,50,200
122,2023-10-03,CUST122,Homem,64,Eletronicos,4,30,120
123,2023-05-15,CUST123,Mulher,40,Eletronicos,2,30,60
124,2023-10-27,CUST124,Homem,33,Roupas,4,500,2000
125,2023-08-08,CUST125,Homem,48,Roupas,2,50,100
126,2023-10-26,CUST126,Mulher,28,Roupas,3,30,90
127,2023-07-24,CUST127,Mulher,33,Roupas,2,25,50
128,2023-07-05,CUST128,Homem,25,Beleza,1,500,500
129,2023-04-23,CUST129,Mulher,21,Beleza,2,300,600
130,2023-03-12,CUST130,Mulher,57,Roupas,1,500,500
131,2023-09-18,CUST131,Mulher,21,Beleza,2,300,600
132,2023-09-10,CUST132,Homem,42,Eletronicos,4,50,200
133,2023-02-16,CUST133,Homem,20,Eletronicos,3,300,900
134,2023-01-25,CUST134,Homem,49,Eletronicos,1,50,50
135,2023-02-26,CUST135,Homem,20,Roupas,2,25,50
136,2023-03-20,CUST136,Homem,44,Eletronicos,2,300,600
137,2023-11-18,CUST137,Homem,46,Beleza,2,500,1000
138,2023-03-23,CUST138,Homem,49,Roupas,4,50,200
139,2023-12-15,CUST139,Homem,36,Beleza,4,500,2000
140,2023-08-05,CUST140,Homem,38,Eletronicos,1,30,30
141,2023-11-02,CUST141,Mulher,22,Eletronicos,1,50,50
142,2023-02-02,CUST142,Homem,35,Eletronicos,4,300,1200
143,2023-07-17,CUST143,Mulher,45,Roupas,1,50,50
144,2023-07-15,CUST144,Mulher,59,Beleza,3,500,1500
145,2023-11-02,CUST145,Mulher,39,Roupas,3,25,75
146,2023-08-28,CUST146,Homem,38,Roupas,4,50,200
147,2023-09-28,CUST147,Homem,23,Eletronicos,1,300,300
148,2023-05-09,CUST148,Homem,18,Roupas,2,30,60
149,2023-10-11,CUST149,Homem,22,Roupas,3,25,75
150,2023-01-06,CUST150,Mulher,58,Eletronicos,4,30,120
151,2023-12-15,CUST151,Homem,29,Roupas,1,50,50
152,2023-02-28,CUST152,Homem,43,Eletronicos,4,500,2000
153,2023-12-16,CUST153,Homem,63,Eletronicos,2,500,1000
154,2023-10-02,CUST154,Homem,51,Eletronicos,3,300,900
155,2023-05-17,CUST155,Homem,31,Eletronicos,4,500,2000
156,2023-11-25,CUST156,Mulher,43,Roupas,4,25,100
157,2023-06-24,CUST157,Homem,62,Eletronicos,4,500,2000
158,2023-02-27,CUST158,Mulher,44,Eletronicos,2,300,600
159,2023-05-31,CUST159,Homem,26,Roupas,4,50,200
160,2023-08-11,CUST160,Mulher,43,Roupas,2,50,100
161,2023-03-22,CUST161,Homem,64,Beleza,2,500,1000
162,2023-08-21,CUST162,Homem,39,Roupas,2,30,60
163,2023-01-02,CUST163,Mulher,64,Roupas,3,50,150
164,2023-05-15,CUST164,Mulher,47,Beleza,3,500,1500
165,2023-09-14,CUST165,Mulher,60,Roupas,4,300,1200
166,2023-04-02,CUST166,Homem,34,Roupas,4,500,2000
167,2023-09-17,CUST167,Mulher,43,Roupas,3,50,150
168,2023-02-24,CUST168,Homem,53,Roupas,1,300,300
169,2023-11-17,CUST169,Homem,18,Beleza,3,500,1500
170,2023-06-02,CUST170,Mulher,25,Roupas,2,25,50
171,2023-11-24,CUST171,Mulher,52,Roupas,3,300,900
172,2023-09-17,CUST172,Homem,32,Beleza,2,25,50
173,2023-11-08,CUST173,Homem,64,Eletronicos,4,30,120
174,2023-04-12,CUST174,Mulher,39,Beleza,1,300,300
175,2023-03-20,CUST175,Mulher,31,Eletronicos,4,25,100
176,2023-07-11,CUST176,Mulher,43,Beleza,2,50,100
177,2023-03-24,CUST177,Homem,45,Beleza,2,50,100
178,2023-10-04,CUST178,Homem,40,Roupas,2,30,60
179,2023-09-29,CUST179,Homem,31,Eletronicos,1,300,300
180,2023-01-01,CUST180,Homem,41,Roupas,3,300,900
181,2023-11-03,CUST181,Homem,19,Eletronicos,4,300,1200
182,2023-06-15,CUST182,Homem,62,Beleza,4,30,120
183,2023-09-08,CUST183,Mulher,43,Beleza,3,300,900
184,2023-01-10,CUST184,Homem,31,Eletronicos,4,50,200
185,2023-02-27,CUST185,Homem,24,Roupas,1,25,25
186,2023-07-05,CUST186,Homem,20,Roupas,4,50,200
187,2023-06-07,CUST187,Mulher,64,Roupas,2,50,100
188,2023-05-03,CUST188,Homem,40,Roupas,3,25,75
189,2023-01-30,CUST189,Homem,63,Beleza,1,50,50
190,2023-05-04,CUST190,Mulher,60,Beleza,3,30,90
191,2023-10-18,CUST191,Homem,64,Beleza,1,25,25
192,2023-02-10,CUST192,Homem,62,Beleza,2,50,100
193,2023-02-13,CUST193,Homem,35,Beleza,3,500,1500
194,2023-09-06,CUST194,Homem,55,Roupas,4,50,200
195,2023-02-05,CUST195,Homem,52,Roupas,1,30,30
196,2023-09-30,CUST196,Mulher,32,Roupas,3,300,900
197,2023-03-06,CUST197,Mulher,42,Roupas,4,50,200
198,2023-03-07,CUST198,Mulher,54,Beleza,3,300,900
199,2023-12-04,CUST199,Homem,45,Beleza,3,500,1500
200,2023-09-01,CUST200,Homem,27,Beleza,3,50,150
201,2023-10-09,CUST201,Homem,56,Eletronicos,1,25,25
202,2023-03-26,CUST202,Mulher,34,Roupas,4,300,1200
203,2023-05-16,CUST203,Homem,56,Roupas,2,500,1000
204,2023-09-28,CUST204,Homem,39,Beleza,1,25,25
205,2023-11-07,CUST205,Mulher,43,Roupas,1,25,25
206,2023-08-05,CUST206,Homem,61,Roupas,1,25,25
207,2023-04-19,CUST207,Mulher,42,Beleza,2,25,50
208,2023-10-04,CUST208,Mulher,34,Eletronicos,4,50,200
209,2023-12-20,CUST209,Mulher,30,Eletronicos,4,50,200
210,2023-04-13,CUST210,Homem,37,Eletronicos,4,50,200
211,2024-01-01,CUST211,Homem,42,Beleza,3,500,1500
212,2023-06-09,CUST212,Homem,21,Roupas,3,500,1500
213,2023-07-24,CUST213,Homem,27,Beleza,3,500,1500
214,2023-12-10,CUST214,Homem,20,Beleza,2,30,60
215,2023-11-29,CUST215,Homem,58,Roupas,3,500,1500
216,2023-07-11,CUST216,Homem,62,Eletronicos,2,50,100
217,2023-08-13,CUST217,Mulher,35,Eletronicos,4,50,200
218,2023-09-22,CUST218,Homem,64,Beleza,3,30,90
219,2023-08-20,CUST219,Mulher,53,Eletronicos,3,30,90
220,2023-03-03,CUST220,Homem,64,Beleza,1,500,500
221,2023-05-07,CUST221,Homem,39,Beleza,2,300,600
222,2023-04-26,CUST222,Homem,51,Roupas,4,30,120
223,2023-02-02,CUST223,Mulher,64,Roupas,1,25,25
224,2023-06-23,CUST224,Mulher,25,Roupas,1,50,50
225,2023-01-11,CUST225,Mulher,57,Beleza,4,25,100
226,2023-10-29,CUST226,Mulher,61,Roupas,1,50,50
227,2023-10-11,CUST227,Homem,36,Eletronicos,2,50,100
228,2023-04-28,CUST228,Mulher,59,Eletronicos,2,30,60
229,2023-10-29,CUST229,Homem,58,Beleza,3,30,90
230,2023-04-23,CUST230,Homem,54,Beleza,1,25,25
231,2023-01-04,CUST231,Mulher,23,Roupas,3,50,150
232,2023-02-06,CUST232,Mulher,43,Beleza,1,25,25
233,2023-12-29,CUST233,Mulher,51,Beleza,2,300,600
234,2023-11-20,CUST234,Mulher,62,Eletronicos,2,25,50
235,2023-01-31,CUST235,Mulher,23,Eletronicos,2,500,1000
236,2023-04-28,CUST236,Mulher,54,Roupas,1,25,25
237,2023-02-04,CUST237,Mulher,50,Beleza,2,500,1000
238,2023-01-17,CUST238,Mulher,39,Beleza,1,500,500
239,2023-06-19,CUST239,Homem,38,Eletronicos,3,500,1500
240,2023-02-06,CUST240,Mulher,23,Beleza,1,300,300
241,2023-09-21,CUST241,Mulher,23,Eletronicos,3,25,75
242,2023-05-02,CUST242,Homem,21,Roupas,1,25,25
243,2023-05-23,CUST243,Mulher,47,Eletronicos,3,300,900
244,2023-12-09,CUST244,Homem,28,Beleza,2,50,100
245,2023-09-06,CUST245,Homem,47,Roupas,3,30,90
246,2023-04-20,CUST246,Mulher,48,Eletronicos,2,25,50
247,2023-10-04,CUST247,Homem,41,Eletronicos,2,30,60
248,2023-03-09,CUST248,Homem,26,Roupas,3,300,900
249,2023-10-20,CUST249,Homem,20,Roupas,1,50,50
250,2023-10-23,CUST250,Homem,48,Eletronicos,1,50,50
251,2023-08-31,CUST251,Mulher,57,Beleza,4,50,200
252,2023-05-05,CUST252,Homem,54,Eletronicos,1,300,300
253,2023-08-31,CUST253,Mulher,53,Roupas,4,500,2000
254,2023-07-28,CUST254,Homem,41,Eletronicos,1,500,500
255,2023-04-08,CUST255,Homem,48,Roupas,1,30,30
256,2023-02-18,CUST256,Homem,23,Roupas,2,500,1000
257,2023-02-19,CUST257,Homem,19,Beleza,4,500,2000
258,2023-12-04,CUST258,Mulher,37,Roupas,1,50,50
259,2023-08-09,CUST259,Mulher,45,Roupas,4,50,200
260,2023-07-01,CUST260,Homem,28,Beleza,2,30,60
261,2023-08-05,CUST261,Homem,21,Roupas,2,25,50
262,2023-07-30,CUST262,Mulher,32,Beleza,4,30,120
263,2023-08-28,CUST263,Homem,23,Beleza,2,30,60
264,2023-01-28,CUST264,Homem,47,Roupas,3,300,900
265,2023-12-11,CUST265,Homem,55,Roupas,3,300,900
266,2023-12-01,CUST266,Mulher,19,Eletronicos,2,30,60
267,2023-11-27,CUST267,Mulher,32,Beleza,3,30,90
268,2023-02-20,CUST268,Mulher,28,Eletronicos,1,30,30
269,2023-02-01,CUST269,Homem,25,Roupas,4,500,2000
270,2023-07-26,CUST270,Homem,43,Eletronicos,1,300,300
271,2023-06-23,CUST271,Mulher,62,Beleza,4,30,120
272,2023-02-25,CUST272,Mulher,61,Eletronicos,2,50,100
273,2023-05-08,CUST273,Mulher,22,Beleza,1,50,50
274,2023-04-09,CUST274,Mulher,23,Roupas,2,500,1000
275,2023-04-08,CUST275,Homem,43,Roupas,2,500,1000
276,2023-10-02,CUST276,Mulher,21,Beleza,4,25,100
277,2023-08-18,CUST277,Homem,36,Roupas,4,25,100
278,2023-03-13,CUST278,Mulher,37,Roupas,4,25,100
279,2023-08-05,CUST279,Homem,50,Roupas,1,500,500
280,2023-04-04,CUST280,Mulher,37,Roupas,3,500,1500
281,2023-05-23,CUST281,Mulher,29,Beleza,4,500,2000
282,2023-08-25,CUST282,Mulher,64,Eletronicos,4,50,200
283,2023-05-08,CUST283,Mulher,18,Eletronicos,1,500,500
284,2023-02-08,CUST284,Homem,43,Roupas,4,50,200
285,2023-08-15,CUST285,Mulher,31,Eletronicos,1,25,25
286,2023-10-09,CUST286,Homem,55,Eletronicos,2,25,50
287,2023-02-20,CUST287,Homem,54,Roupas,4,25,100
288,2023-01-26,CUST288,Homem,28,Roupas,4,30,120
289,2023-11-30,CUST289,Homem,53,Eletronicos,2,30,60
290,2023-10-04,CUST290,Mulher,30,Beleza,2,300,600
291,2023-01-08,CUST291,Homem,60,Roupas,2,300,600
292,2023-02-17,CUST292,Homem,20,Beleza,4,300,1200
293,2023-05-02,CUST293,Homem,50,Eletronicos,3,30,90
294,2023-03-27,CUST294,Mulher,23,Roupas,3,30,90
295,2023-07-28,CUST295,Mulher,27,Beleza,3,300,900
296,2023-09-06,CUST296,Mulher,22,Roupas,4,300,1200
297,2023-09-04,CUST297,Mulher,40,Eletronicos,2,500,1000
298,2023-04-20,CUST298,Homem,27,Beleza,4,300,1200
299,2023-07-25,CUST299,Homem,61,Eletronicos,2,500,1000
300,2023-01-31,CUST300,Mulher,19,Eletronicos,4,50,200
301,2023-03-26,CUST301,Homem,30,Roupas,4,30,120
302,2023-07-14,CUST302,Homem,57,Beleza,2,300,600
303,2023-01-02,CUST303,Homem,19,Eletronicos,3,30,90
304,2023-07-19,CUST304,Mulher,37,Eletronicos,2,30,60
305,2023-05-16,CUST305,Mulher,18,Beleza,1,30,30
306,2023-08-21,CUST306,Homem,54,Eletronicos,1,50,50
307,2023-05-27,CUST307,Mulher,26,Eletronicos,2,25,50
308,2023-08-05,CUST308,Mulher,34,Beleza,4,300,1200
309,2023-12-23,CUST309,Mulher,26,Beleza,1,25,25
310,2023-10-12,CUST310,Mulher,28,Beleza,1,25,25
311,2023-12-05,CUST311,Mulher,32,Beleza,4,25,100
312,2023-09-07,CUST312,Homem,41,Roupas,4,30,120
313,2023-03-21,CUST313,Mulher,55,Beleza,3,500,1500
314,2023-04-08,CUST314,Homem,52,Roupas,4,30,120
315,2023-06-01,CUST315,Homem,47,Roupas,2,30,60
316,2023-04-22,CUST316,Mulher,48,Roupas,2,25,50
317,2023-01-30,CUST317,Homem,22,Eletronicos,3,30,90
318,2023-10-24,CUST318,Homem,61,Roupas,1,25,25
319,2023-10-05,CUST319,Homem,31,Roupas,1,500,500
320,2023-02-01,CUST320,Mulher,28,Eletronicos,4,300,1200
321,2023-06-10,CUST321,Mulher,26,Eletronicos,2,25,50
322,2023-01-30,CUST322,Homem,51,Eletronicos,1,500,500
323,2023-01-26,CUST323,Mulher,29,Beleza,3,300,900
324,2023-10-27,CUST324,Mulher,52,Eletronicos,3,50,150
325,2023-09-02,CUST325,Mulher,52,Eletronicos,2,25,50
326,2023-09-15,CUST326,Mulher,18,Roupas,3,25,75
327,2023-09-29,CUST327,Homem,57,Eletronicos,3,50,150
328,2023-03-22,CUST328,Homem,39,Beleza,2,50,100
329,2023-01-30,CUST329,Mulher,46,Eletronicos,4,25,100
330,2023-09-18,CUST330,Mulher,25,Beleza,4,50,200
331,2023-02-11,CUST331,Homem,28,Eletronicos,3,30,90
332,2023-04-06,CUST332,Homem,58,Eletronicos,4,300,1200
333,2023-02-05,CUST333,Mulher,54,Eletronicos,4,300,1200
334,2023-11-01,CUST334,Homem,31,Eletronicos,3,300,900
